,ConcernID,IssueID,IssueDescription,ConcernDescription,ResolutionDescription,Clause,keyword_corpus,Breach,Predicted_Breach
2093,COM-102947,COM-102947_1,Breakfree package fee of $395.00 charged on 14/9/2017,Customer called in to lodge a complaint about being charged $395.00 breakfree package fee. Customer states he moved to ANZ  as he was told that he would never be charged fees for the life of his loan. Customer states he was not told about any package fees. Customer never to pay any fees.,Educated customer on the benefits of breakfree package. Advised him there is no waiver of package fees. Advised him ANZ does not offer any fee free products for life. He might have received a one off waiver for the first year however if he needs the benefits of discounted loans he will need to pay the package fee.   Advised customer this time as a one off gwg I will refund it this year. However if he does keep his account open this fee will be charged same time next year and he will need to pay it in full. Customer has agreed.,14a,Customer called in to lodge a complaint about being charged $395.00 breakfree package fee. Customer states he moved to ANZ  as he was told that he would never be charged fees for the life of his loan. Customer states he was not told about any package fees. Customer never to pay any fees.Breakfree package fee of $395.00 charged on 14/9/2017Educated customer on the benefits of breakfree package. Advised him there is no waiver of package fees. Advised him ANZ does not offer any fee free products for life. He might have received a one off waiver for the first year however if he needs the benefits of discounted loans he will need to pay the package fee.   Advised customer this time as a one off gwg I will refund it this year. However if he does keep his account open this fee will be charged same time next year and he will need to pay it in full. Customer has agreed.14a,1.0,1.0
2129,COM-102993,COM-102993_1,not advised of overdrawn fees when account was opened,Customer says he was not advised of Overdrawn fees on access account. Unhappy he has ben charged as he was told he would not be charged fees as he worked for Telstra,"Apologised to the customer for the frustration and inconvenience this has caused, educated customer on process of overdrawn fees and how to avoid in future, gave details to stop DIBs if required in future, Goodwill credit to access account re overdrawn fees to resolve complaint",15,"Customer says he was not advised of Overdrawn fees on access account. Unhappy he has ben charged as he was told he would not be charged fees as he worked for Telstranot advised of overdrawn fees when account was openedApologised to the customer for the frustration and inconvenience this has caused, educated customer on process of overdrawn fees and how to avoid in future, gave details to stop DIBs if required in future, Goodwill credit to access account re overdrawn fees to resolve complaint15",1.0,1.0
2204,COM-103093,COM-103093_1,Rewards Fee Charged,Customer states he is not happy with the Rewards fee he has been charged on his on his ANZ Rewards Platinum credit card account. Customer states he had contacted ANZ to close the account so he did not get charged the fee and was advised the annual fee would be waived but was not clearly explained that the Annual Fee did not include the Rewards fee. Customer has requested for the fee to be reversed.,Customer states he is not happy with the Rewards fee he has been charged on his on his ANZ Rewards Platinum credit card account. Customer states he had contacted ANZ to close the account so he did not get charged the fee and was advised the annual fee would be waived but was not clearly explained that the Annual Fee did not include the Rewards fee. Customer has requested for the fee to be reversed.,14a,Customer states he is not happy with the Rewards fee he has been charged on his on his ANZ Rewards Platinum credit card account. Customer states he had contacted ANZ to close the account so he did not get charged the fee and was advised the annual fee would be waived but was not clearly explained that the Annual Fee did not include the Rewards fee. Customer has requested for the fee to be reversed.Rewards Fee ChargedCustomer states he is not happy with the Rewards fee he has been charged on his on his ANZ Rewards Platinum credit card account. Customer states he had contacted ANZ to close the account so he did not get charged the fee and was advised the annual fee would be waived but was not clearly explained that the Annual Fee did not include the Rewards fee. Customer has requested for the fee to be reversed.14a,1.0,1.0
2405,COM-103409,COM-103409_1,Annual fee of $150 and an additional card holder fee of $75 a total of $225 waiver was never applied on the Business One Credit card for the first  year as promised to him by hisSmall Business Specialist,"Customer called in upset about several fees and charges on his new business one credit card. Customer states he took the card after he spoke to a Small Business Specialist at the Camberwell Branch, who advised him that he would have this card fee free for the first year. However a month after he received the card he was charged an annual fee of $150 and an additional card holder fee of $75. Customer has been calling this specialist several times but neither does he answer his phone nor does he return phone calls. Customer finally walked into the branch and spoke to him and he agreed to reversal fees however nothing happened. In fact the following month since there was an incorrect address in the system he did not receive his statements on time and he was charged a $35 late payment fee and a $9.75 interest charge. Customer again called the specialist and this time he answered the phone but reversed only the late payment fee and interest charges the annual fee and additional card holder fee are yet to be reversed. Customer had it enough and hence has called us to get a resolution.",I apologised to the customer for the poor experience he has had and advised him I will refund the annual fee of $150 and an additional card holder fee of $75 a total of $225 as a gwg to resolve the compliant and I will lodge a formal complaint against this staff and pass it on to his manager.,14a,"Customer called in upset about several fees and charges on his new business one credit card. Customer states he took the card after he spoke to a Small Business Specialist at the Camberwell Branch, who advised him that he would have this card fee free for the first year. However a month after he received the card he was charged an annual fee of $150 and an additional card holder fee of $75. Customer has been calling this specialist several times but neither does he answer his phone nor does he return phone calls. Customer finally walked into the branch and spoke to him and he agreed to reversal fees however nothing happened. In fact the following month since there was an incorrect address in the system he did not receive his statements on time and he was charged a $35 late payment fee and a $9.75 interest charge. Customer again called the specialist and this time he answered the phone but reversed only the late payment fee and interest charges the annual fee and additional card holder fee are yet to be reversed. Customer had it enough and hence has called us to get a resolution.Annual fee of $150 and an additional card holder fee of $75 a total of $225 waiver was never applied on the Business One Credit card for the first  year as promised to him by hisSmall Business SpecialistI apologised to the customer for the poor experience he has had and advised him I will refund the annual fee of $150 and an additional card holder fee of $75 a total of $225 as a gwg to resolve the compliant and I will lodge a formal complaint against this staff and pass it on to his manager.14a",1.0,1.0
2464,COM-103488,COM-103488_1,ANZ insurance issue,Customer not happy that she cannot get insurance due to the terms and conditions for the credit card. Customer advised the insurance centre advised her that she needs to spends an extra $250 relating to her holiday before she leave Australia.,Apologised to customer and advised customer credit of $500 as good will gesture as a reimbursement for the travel insurance she will have to pay for. Customer happy with gesture.,15,Customer not happy that she cannot get insurance due to the terms and conditions for the credit card. Customer advised the insurance centre advised her that she needs to spends an extra $250 relating to her holiday before she leave Australia.ANZ insurance issueApologised to customer and advised customer credit of $500 as good will gesture as a reimbursement for the travel insurance she will have to pay for. Customer happy with gesture.15,1.0,1.0
2496,COM-103568,COM-103568_2,Payment clearance,The deposit of $128.30 on 20/06/2017 is the transfer of the Medicare benefits that were reversed from the closed account into this active account.,Apologised to customer and informed him as gesture of goodwill I will apply a credit for the amount of $15.00. The issues he raised will be passed on to relevant manager for our internal review.   02/10/2017 Customer informed our records indicate the funds were to be transferred to the account and not redirect back to Medicare. I informed customer if they wish to close the account they will be required to ensure the account is at zero balance.,33,The deposit of $128.30 on 20/06/2017 is the transfer of the Medicare benefits that were reversed from the closed account into this active account.Payment clearanceApologised to customer and informed him as gesture of goodwill I will apply a credit for the amount of $15.00. The issues he raised will be passed on to relevant manager for our internal review.   02/10/2017 Customer informed our records indicate the funds were to be transferred to the account and not redirect back to Medicare. I informed customer if they wish to close the account they will be required to ensure the account is at zero balance.33,1.0,1.0
2497,COM-103568,COM-103568_3,Payment clearance,The deposit of $128.30 on 20/06/2017 is the transfer of the Medicare benefits that were reversed from the closed account into this active account.,Apologised to customer and informed him as gesture of goodwill I will apply a credit for the amount of $15.00. The issues he raised will be passed on to relevant manager for our internal review.   02/10/2017 Customer informed our records indicate the funds were to be transferred to the account and not redirect back to Medicare. I informed customer if they wish to close the account they will be required to ensure the account is at zero balance.,33,The deposit of $128.30 on 20/06/2017 is the transfer of the Medicare benefits that were reversed from the closed account into this active account.Payment clearanceApologised to customer and informed him as gesture of goodwill I will apply a credit for the amount of $15.00. The issues he raised will be passed on to relevant manager for our internal review.   02/10/2017 Customer informed our records indicate the funds were to be transferred to the account and not redirect back to Medicare. I informed customer if they wish to close the account they will be required to ensure the account is at zero balance.33,1.0,1.0
2522,COM-103642,COM-103642_1,Tax withheld from online saver account.,"Customer opened an online saver account 2 years ago from a recommendation off a personal banker in George street, Sydney. She felt quite bombarded and unsure about it all. The banker didn't ask for her TFN and she has been paying withholding tax for a long while now without noticing. She feels the banker took advantage of her vulnerable state at the time after a divorce. Reimbursement of interest lost",Apologised in letter and compensated $100.00 as a goodwill compensation for tax withheld over the past year.,18.2,"Customer opened an online saver account 2 years ago from a recommendation off a personal banker in George street, Sydney. She felt quite bombarded and unsure about it all. The banker didn't ask for her TFN and she has been paying withholding tax for a long while now without noticing. She feels the banker took advantage of her vulnerable state at the time after a divorce. Reimbursement of interest lostTax withheld from online saver account.Apologised in letter and compensated $100.00 as a goodwill compensation for tax withheld over the past year.18.2",1.0,1.0
2593,COM-103811,COM-103811_1,Delays in account opening process -due to technical issue relating tocorrect names for KYC.,Customer advised requested to open a busiens saccount with ANZ 21 days ago via the ANZ Woodville north branch BSB 5450. Customer advised not happy that account still not opened.,apologised to the customer for the inconvenience with delays in opening account due to KYC. advised feedback has been passed on to branch.,18.2,Customer advised requested to open a busiens saccount with ANZ 21 days ago via the ANZ Woodville north branch BSB 5450. Customer advised not happy that account still not opened.Delays in account opening process -due to technical issue relating tocorrect names for KYC.apologised to the customer for the inconvenience with delays in opening account due to KYC. advised feedback has been passed on to branch.18.2,1.0,1.0
2654,COM-103931,COM-103931_1,interest charged on esanda loan,"CUSTOMER SAID SHE WAS NOT ADVISED THAT TEMPORARY ARRANGEMENTS CAN ACCRUE INTEREST WHILST IN ARREARS, AND HAS BEEN SETTING UP REGULAR TA'S SO THAT SHE CAN MAKE THE PAYMENTS 2 DAYS AFTER THE CONTRACTUAL DUE DATE. CUSTOMER WOULD LIKE TO BE REFUNDED THE ADDITIONAL INTEREST ACCRUED.  REIMBURSEMENT OF INTEREST",credited $23.33 to esanda loan and request sent to have esanda contact customer on 29/09,14a,"CUSTOMER SAID SHE WAS NOT ADVISED THAT TEMPORARY ARRANGEMENTS CAN ACCRUE INTEREST WHILST IN ARREARS, AND HAS BEEN SETTING UP REGULAR TA'S SO THAT SHE CAN MAKE THE PAYMENTS 2 DAYS AFTER THE CONTRACTUAL DUE DATE. CUSTOMER WOULD LIKE TO BE REFUNDED THE ADDITIONAL INTEREST ACCRUED.  REIMBURSEMENT OF INTERESTinterest charged on esanda loancredited $23.33 to esanda loan and request sent to have esanda contact customer on 29/0914a",1.0,1.0
2662,COM-103946,COM-103946_1,card not closed,"customer states that she had requested for the credit card to be closed last year  however, she has now received an email from ANZ advising us that her online statement is ready to be viewed  customer states that she should not be receiving these statements because her card has already been closed  customer wants this to be looked into and wants the card closed  customer also wants statements to be sent for her savings account from July 2015 to June 2016.",called customer back  advised customer that we will refund the $137.70 and the account will be brought back to $0.00  advised if she has any direct debit to cancel them as they may still be processed advised we will send her statements for the credit card to view if she has any direct debits and cancel them  also advised that we are arranging to send the statements for her savings account  customer accepted outcome.,33,"customer states that she had requested for the credit card to be closed last year  however, she has now received an email from ANZ advising us that her online statement is ready to be viewed  customer states that she should not be receiving these statements because her card has already been closed  customer wants this to be looked into and wants the card closed  customer also wants statements to be sent for her savings account from July 2015 to June 2016.card not closedcalled customer back  advised customer that we will refund the $137.70 and the account will be brought back to $0.00  advised if she has any direct debit to cancel them as they may still be processed advised we will send her statements for the credit card to view if she has any direct debits and cancel them  also advised that we are arranging to send the statements for her savings account  customer accepted outcome.33",1.0,1.0
2663,COM-103946,COM-103946_2,card not closed,"customer states that she had requested for the credit card to be closed last year  however, she has now received an email from ANZ advising us that her online statement is ready to be viewed  customer states that she should not be receiving these statements because her card has already been closed  customer wants this to be looked into and wants the card closed  customer also wants statements to be sent for her savings account from July 2015 to June 2016.",called customer back  advised customer that we will refund the $137.70 and the account will be brought back to $0.00  advised if she has any direct debit to cancel them as they may still be processed advised we will send her statements for the credit card to view if she has any direct debits and cancel them  also advised that we are arranging to send the statements for her savings account  customer accepted outcome.,33,"customer states that she had requested for the credit card to be closed last year  however, she has now received an email from ANZ advising us that her online statement is ready to be viewed  customer states that she should not be receiving these statements because her card has already been closed  customer wants this to be looked into and wants the card closed  customer also wants statements to be sent for her savings account from July 2015 to June 2016.card not closedcalled customer back  advised customer that we will refund the $137.70 and the account will be brought back to $0.00  advised if she has any direct debit to cancel them as they may still be processed advised we will send her statements for the credit card to view if she has any direct debits and cancel them  also advised that we are arranging to send the statements for her savings account  customer accepted outcome.33",1.0,1.0
2669,COM-103955,COM-103955_1,Breakfree package notification,Customer was upset at not being notified or reminded about the $395 annual breakfree package before it was debited. Feedback to be recorded,Apologised to customer and informed her feedback will be passed on to relevant manager.,14a,Customer was upset at not being notified or reminded about the $395 annual breakfree package before it was debited. Feedback to be recordedBreakfree package notificationApologised to customer and informed her feedback will be passed on to relevant manager.14a,1.0,0.0
2698,COM-104040,COM-104040_1,incorrect information provided,Fwd travel card complaint  Please find an email below that I have addressed to the Personal banker Reshmi at Miranda branch NSW. She incorrectly informed me wasting my time and causing great stress then 7 days later I discovered she had neither closed my expired account nor opened a new one. Leaving me without cash in Indonesia.  I look forward to your response.,"apologised to the customer for the inconvenience and poor service, advised feedback would be passed on",15,"Fwd travel card complaint  Please find an email below that I have addressed to the Personal banker Reshmi at Miranda branch NSW. She incorrectly informed me wasting my time and causing great stress then 7 days later I discovered she had neither closed my expired account nor opened a new one. Leaving me without cash in Indonesia.  I look forward to your response.incorrect information providedapologised to the customer for the inconvenience and poor service, advised feedback would be passed on15",1.0,1.0
2737,COM-104126,COM-104126_1,Account in arrears and not closed when orginally requested complaint.,I had sent off forms to get my Offset account closed. However this has not been done and now service charges have overdrawn the account as well as interest charges amounting to $126.75. I seek for these overdrawn charges to be reversed and the account to be closed as initially requested.,Credited customers account with $130.00 to cover the arrears amount owing on the account. Confirmed with the customer that once the arrears has been cleared and account is at a zero balance we will close the account off. Apologised for the fustration and advised that the feedback has been passed on in regards to difficulties in closing account.,33,I had sent off forms to get my Offset account closed. However this has not been done and now service charges have overdrawn the account as well as interest charges amounting to $126.75. I seek for these overdrawn charges to be reversed and the account to be closed as initially requested.Account in arrears and not closed when orginally requested complaint.Credited customers account with $130.00 to cover the arrears amount owing on the account. Confirmed with the customer that once the arrears has been cleared and account is at a zero balance we will close the account off. Apologised for the fustration and advised that the feedback has been passed on in regards to difficulties in closing account.33,1.0,1.0
2750,COM-104138,COM-104138_1,Complete product disclosure not advised to the customer. He thought it was a business term deposit not personal account.,"Registration* Customer states his Term deposit has been opened incorrectly by ANZ in his personal name instead of the business name of SPS & BKS Family Superfund. He would like a letter from ANZ confirming the interest earned of $6,241.00 was for his Superfund and not his personal earnings. He had raised his concerns at the ANZ Watergardens branch and over the phone. He was assured that the account is in his Superfund name. He states his personal TFN may have been added to the Superfund term deposit.","Acknowledged the concerns raised and apologised for the inconvenience caused in relation to the opening of the Term deposit. Our records indicate the ANZ Advance Notice Term deposit was opened on 29 July 2016 under his name. The funds of $416,245.18 used to facilitate the opening of the account were from his ANZ Business Premium Saver account held in the name of SPS &BKS Family Superannuation Fund. On 31 January 2017, this term deposit matured and a total of $422,486.18 (Principal $416,245.18 and interest $6,241.00) was transferred back into the ANZ Business Premium Saver. Based on tha above, his personal accounts were not used to open the term deposit or on maturity. Due to the timeframe since the account was opened we are unable to obtain further details about the account opening from the Watergardens branch. In order to complete the amendment form and make necessary updates to our system, we require some further information from him. ANZ will contact him regarding this information shortly. Once the amendment is completed, ANZ will ensure that the document is received by our key contact at the ATO who deals with related matters for ANZ. This amendment will not correct any information that forms part of the ATO's prefilled service. It will however stop any automated audit letters. ANZ notes that any further actions in relation to the pre-filled and/or your respective individual tax issues information is between him and the ATO.***""Other prod, service or commercial res provided (Resolved by FSP) & Resolved by FSP "".",18.2,"Registration* Customer states his Term deposit has been opened incorrectly by ANZ in his personal name instead of the business name of SPS & BKS Family Superfund. He would like a letter from ANZ confirming the interest earned of $6,241.00 was for his Superfund and not his personal earnings. He had raised his concerns at the ANZ Watergardens branch and over the phone. He was assured that the account is in his Superfund name. He states his personal TFN may have been added to the Superfund term deposit.Complete product disclosure not advised to the customer. He thought it was a business term deposit not personal account.Acknowledged the concerns raised and apologised for the inconvenience caused in relation to the opening of the Term deposit. Our records indicate the ANZ Advance Notice Term deposit was opened on 29 July 2016 under his name. The funds of $416,245.18 used to facilitate the opening of the account were from his ANZ Business Premium Saver account held in the name of SPS &BKS Family Superannuation Fund. On 31 January 2017, this term deposit matured and a total of $422,486.18 (Principal $416,245.18 and interest $6,241.00) was transferred back into the ANZ Business Premium Saver. Based on tha above, his personal accounts were not used to open the term deposit or on maturity. Due to the timeframe since the account was opened we are unable to obtain further details about the account opening from the Watergardens branch. In order to complete the amendment form and make necessary updates to our system, we require some further information from him. ANZ will contact him regarding this information shortly. Once the amendment is completed, ANZ will ensure that the document is received by our key contact at the ATO who deals with related matters for ANZ. This amendment will not correct any information that forms part of the ATO's prefilled service. It will however stop any automated audit letters. ANZ notes that any further actions in relation to the pre-filled and/or your respective individual tax issues information is between him and the ATO.***""Other prod, service or commercial res provided (Resolved by FSP) & Resolved by FSP "".18.2",1.0,1.0
2818,COM-104289,COM-104289_1,closed account enquiries- customer has been exited and has not received his cheque,"The above customer was exited and his account ending 8217 was closed on 10/05/2017 with closing balance of $2,260.23.  Customer advised he still has not received the closing balance.  Please contact the customer and have the issue solved. The customer may have contacted anzclosedaccountenquiries@anz.com yet received no response therefore contacted with us.",funds from closed account have now been posted to DDA ending 4438 and will take two to three business days to clear,33,"The above customer was exited and his account ending 8217 was closed on 10/05/2017 with closing balance of $2,260.23.  Customer advised he still has not received the closing balance.  Please contact the customer and have the issue solved. The customer may have contacted anzclosedaccountenquiries@anz.com yet received no response therefore contacted with us.closed account enquiries- customer has been exited and has not received his chequefunds from closed account have now been posted to DDA ending 4438 and will take two to three business days to clear33",1.0,1.0
2892,COM-104443,COM-104443_1,lost domestic flights due to IPT,"***credit cards   Customer had the travel rewards card, and recently performed a product transfer, however is still needing to claim the domestic flight through the now closed account , yet is told she cannot claim this.  The terms and conditions were not explained when closing the account that she would not be able to claim the free flight when she had the card account approved. Dianne needs the free domestic flight honoured, for the account taht has now been closed- diboulo.hill@gmail.com",I have carefully considered the information you provided and have reviewed your account history. On this occasion I will be crediting your account with $400 to assist with purchasing the domestic flight you subsequently lost due to a transfer of ANZ credit card product.  You have accepted this offer and I have confirmed you will see the $400 credit reflect on your existing ANZ Rewards Black card in 2-3 working days.  Thanks again for the opportunity to look into this matter for you and for your patience while we looked towards a fair resolution.,14a,"***credit cards   Customer had the travel rewards card, and recently performed a product transfer, however is still needing to claim the domestic flight through the now closed account , yet is told she cannot claim this.  The terms and conditions were not explained when closing the account that she would not be able to claim the free flight when she had the card account approved. Dianne needs the free domestic flight honoured, for the account taht has now been closed- diboulo.hill@gmail.comlost domestic flights due to IPTI have carefully considered the information you provided and have reviewed your account history. On this occasion I will be crediting your account with $400 to assist with purchasing the domestic flight you subsequently lost due to a transfer of ANZ credit card product.  You have accepted this offer and I have confirmed you will see the $400 credit reflect on your existing ANZ Rewards Black card in 2-3 working days.  Thanks again for the opportunity to look into this matter for you and for your patience while we looked towards a fair resolution.14a",1.0,1.0
2894,COM-104443,COM-104443_1,lost domestic flights due to IPT,"***credit cards   Customer had the travel rewards card, and recently performed a product transfer, however is still needing to claim the domestic flight through the now closed account , yet is told she cannot claim this.  The terms and conditions were not explained when closing the account that she would not be able to claim the free flight when she had the card account approved. Dianne needs the free domestic flight honoured, for the account taht has now been closed- diboulo.hill@gmail.com",I have carefully considered the information you provided and have reviewed your account history. On this occasion I will be crediting your account with $400 to assist with purchasing the domestic flight you subsequently lost due to a transfer of ANZ credit card product.  You have accepted this offer and I have confirmed you will see the $400 credit reflect on your existing ANZ Rewards Black card in 2-3 working days.  Thanks again for the opportunity to look into this matter for you and for your patience while we looked towards a fair resolution.,14a,"***credit cards   Customer had the travel rewards card, and recently performed a product transfer, however is still needing to claim the domestic flight through the now closed account , yet is told she cannot claim this.  The terms and conditions were not explained when closing the account that she would not be able to claim the free flight when she had the card account approved. Dianne needs the free domestic flight honoured, for the account taht has now been closed- diboulo.hill@gmail.comlost domestic flights due to IPTI have carefully considered the information you provided and have reviewed your account history. On this occasion I will be crediting your account with $400 to assist with purchasing the domestic flight you subsequently lost due to a transfer of ANZ credit card product.  You have accepted this offer and I have confirmed you will see the $400 credit reflect on your existing ANZ Rewards Black card in 2-3 working days.  Thanks again for the opportunity to look into this matter for you and for your patience while we looked towards a fair resolution.14a",1.0,1.0
3197,COM-104991,COM-104991_1,Account didn't get closed yet,Client account was not closed when he instructed on 16/8/17. Client will commence legal proceedings if we do not act within 7 days,closed account on CAP,33,Client account was not closed when he instructed on 16/8/17. Client will commence legal proceedings if we do not act within 7 daysAccount didn't get closed yetclosed account on CAP33,1.0,1.0
3207,COM-105001,COM-105001_1,"Customer feels mislead in regards to credit card information she wants anz to listen to the call she had as she feels she was advised once interest free period ends ill revert back to written card interest rate 1 was on the of 2.49, anz low rate credit card","Customer has an ANZ Low Rate credit card with us where she was under the impression as per phone conversations in 2016 that upon expiry of her balance transfer, the interest rate will revert to 12.49%. Customer can see she has been charged at 21.74%. Customer is not satisfied about this and is seeking us to investigate further.","As customer is not contactable will issue letter to customer apologising for any inconvenience caused to her as a result of the matter, in order for us to investigate further we need to liaise with the customer to understand exactly what she feels mislead upon. Case closed pending customer contact.  advise our attempts to locate the phone call in question have been unsuccessful. Unable to verify what was discussed.   Further investigation confirms expired balance transfers processed prior to June 2016 is comprised of $4,033.55.  Expired Balance transfers completed on 7 July 2016 is comprised of $5,194.69. Statements confirm the balance held for $5,194.69 would expire on 18 July 2017 and revert to the balance transferred rate of 21.74%, not purchase rate of 12.49%.  Unfortunately we cannot adjust the balances as they have expired to the correct rates.  Will offer customer $341.08 to resolve the complaint (amount covers 3 months worth of interest) ? accepted. I advised customer to allow up to 2 business days for the funds. I advised customer letter to be sent. Case closed.",14a,"Customer has an ANZ Low Rate credit card with us where she was under the impression as per phone conversations in 2016 that upon expiry of her balance transfer, the interest rate will revert to 12.49%. Customer can see she has been charged at 21.74%. Customer is not satisfied about this and is seeking us to investigate further.Customer feels mislead in regards to credit card information she wants anz to listen to the call she had as she feels she was advised once interest free period ends ill revert back to written card interest rate 1 was on the of 2.49, anz low rate credit cardAs customer is not contactable will issue letter to customer apologising for any inconvenience caused to her as a result of the matter, in order for us to investigate further we need to liaise with the customer to understand exactly what she feels mislead upon. Case closed pending customer contact.  advise our attempts to locate the phone call in question have been unsuccessful. Unable to verify what was discussed.   Further investigation confirms expired balance transfers processed prior to June 2016 is comprised of $4,033.55.  Expired Balance transfers completed on 7 July 2016 is comprised of $5,194.69. Statements confirm the balance held for $5,194.69 would expire on 18 July 2017 and revert to the balance transferred rate of 21.74%, not purchase rate of 12.49%.  Unfortunately we cannot adjust the balances as they have expired to the correct rates.  Will offer customer $341.08 to resolve the complaint (amount covers 3 months worth of interest) ? accepted. I advised customer to allow up to 2 business days for the funds. I advised customer letter to be sent. Case closed.14a",1.0,1.0
3337,COM-105309,COM-105309_1,Account closure process,Customer had an equity manager that settled on the 25/08 and it should of closed off after settlement. This has not occurred and a direct debit has forced the account into the negative. Closure of the account and waiver of remainder fees.,"Letter sent Thank you for the opportunity to investigate this matter and respond to your concerns. We have considered all the information as provided by you and known to ANZ. I am sorry for any inconvenience this matter may have caused to you. I have passed on your feedback to the relevant areas to be addressed internally. Please note that I have waived the charges on the account totalling $24.35.( as goodwill gesture for better customer experience, been with ANZ for 17yrs)) Also, I have organised for the account to be closed as requested. Thanks again for sharing your concerns. We are genuinely grateful for your feedback as it provides us the opportunity to review and improve our service.",33,"Customer had an equity manager that settled on the 25/08 and it should of closed off after settlement. This has not occurred and a direct debit has forced the account into the negative. Closure of the account and waiver of remainder fees.Account closure processLetter sent Thank you for the opportunity to investigate this matter and respond to your concerns. We have considered all the information as provided by you and known to ANZ. I am sorry for any inconvenience this matter may have caused to you. I have passed on your feedback to the relevant areas to be addressed internally. Please note that I have waived the charges on the account totalling $24.35.( as goodwill gesture for better customer experience, been with ANZ for 17yrs)) Also, I have organised for the account to be closed as requested. Thanks again for sharing your concerns. We are genuinely grateful for your feedback as it provides us the opportunity to review and improve our service.33",1.0,1.0
3383,COM-105461,COM-105461_1,Non disclosure of ERC,"14th July 2017 - I phoned ANZ to ask what the exit fees were going to be on my fixed rate home loan as I was looking at gong through the process of refinancing. My fixed rate loan did not expire until November 2019, so I wanted to make sure it was worthwhile for me to refinance. I was informed by ANZ that because I was on a ""break-free"" package that the fees would be $10. I proceeded to refinance my home loan based on this information. I was then told it settled, then told it didn't settle as the loan was $10,605 short due to interest charged on discharge of the loan. This is not the information that I was provided with from ANZ and then proceeded to go through the complaints process",Customer accepted $1k offer for poor service / misleading representations,14a,"14th July 2017 - I phoned ANZ to ask what the exit fees were going to be on my fixed rate home loan as I was looking at gong through the process of refinancing. My fixed rate loan did not expire until November 2019, so I wanted to make sure it was worthwhile for me to refinance. I was informed by ANZ that because I was on a ""break-free"" package that the fees would be $10. I proceeded to refinance my home loan based on this information. I was then told it settled, then told it didn't settle as the loan was $10,605 short due to interest charged on discharge of the loan. This is not the information that I was provided with from ANZ and then proceeded to go through the complaints processNon disclosure of ERCCustomer accepted $1k offer for poor service / misleading representations14a",1.0,1.0
3461,COM-105617,COM-105617_1,ANNUAL FEE CHARGED,"*** credit card   Customer is not happy with the annual fee being charged to his account  He was advised by the branch staff he would have a three-year-waiver on the annual fee  This is incorrect, as he has been charged an annual fee in July 2017  He wants this credited back to him and does not wish to be charged an annual fee in the next year also","Advised this recent annual fee will be credited, my colleague credited $225 and I will credit the further $225  It will reflect in 2-3 business days  I will still pass on feedback to branch regarding past branch staff who provided misinformation  Advised customer a further fee waiver will not be considered, he needs to see what card he wishes to change to as the higher annual fee for the superior card will apply - features and benefits will be different  Could not go through specific product information Referred him to the ANZ website to compare cards and to discuss further when he is ready by contacting commercial cards team  Provided fee date July 2018 next due- he must request card to be changed before then to avoid this fee, as a further fee will not be waived Provided reference number for his record  Case closed.",14a,"*** credit card   Customer is not happy with the annual fee being charged to his account  He was advised by the branch staff he would have a three-year-waiver on the annual fee  This is incorrect, as he has been charged an annual fee in July 2017  He wants this credited back to him and does not wish to be charged an annual fee in the next year alsoANNUAL FEE CHARGEDAdvised this recent annual fee will be credited, my colleague credited $225 and I will credit the further $225  It will reflect in 2-3 business days  I will still pass on feedback to branch regarding past branch staff who provided misinformation  Advised customer a further fee waiver will not be considered, he needs to see what card he wishes to change to as the higher annual fee for the superior card will apply - features and benefits will be different  Could not go through specific product information Referred him to the ANZ website to compare cards and to discuss further when he is ready by contacting commercial cards team  Provided fee date July 2018 next due- he must request card to be changed before then to avoid this fee, as a further fee will not be waived Provided reference number for his record  Case closed.14a",1.0,1.0
3624,COM-105882,COM-105882_1,Account closure not actioned,Customer believes he called us to close his ANZ Access Advantage account in December 2016. Customer wants us to write off the outstanding balance and close the account.,Thank you for the opportunity to investigate this matter and respond to your concerns. We have considered all the information as provided by you and known to ANZ.  I confirm we are unable to verify your request for the closure of the account.   However as a gesture of goodwill we will write off the charges and close your account. Please allow 3-5 business days for the request to be actioned.  Please accept our apologies for any inconvenience this has caused you,33,Customer believes he called us to close his ANZ Access Advantage account in December 2016. Customer wants us to write off the outstanding balance and close the account.Account closure not actionedThank you for the opportunity to investigate this matter and respond to your concerns. We have considered all the information as provided by you and known to ANZ.  I confirm we are unable to verify your request for the closure of the account.   However as a gesture of goodwill we will write off the charges and close your account. Please allow 3-5 business days for the request to be actioned.  Please accept our apologies for any inconvenience this has caused you33,1.0,1.0
3846,COM-106241,COM-106241_1,customer having issued with the cheque clearence,Customer called in regard to clearance cheque issue. customer deposited cheque to ofi on fast clearance . its been 3 days its not cleared. customer stating that ofi told that ANZ is stopping to clear the funds.,Confirmed with customer cheque cleared and funds available.,15,Customer called in regard to clearance cheque issue. customer deposited cheque to ofi on fast clearance . its been 3 days its not cleared. customer stating that ofi told that ANZ is stopping to clear the funds.customer having issued with the cheque clearenceConfirmed with customer cheque cleared and funds available.15,1.0,1.0
